2026-05-20T12:08:40.737008 | UPLOAD | Qbi製程記錄表_(RL) 腎功能檢查 Renal  15_UMRZ26D036(退).xlsm | WO=UMRZ26D037 | LOT=1-0000007-26041702 | OK
2026-05-20T12:18:31.971079 | UPLOAD | Qbi?????_(RL) ????? Renal  15_UMRZ26D036(?).xlsm | WO=UMRZ26D037 | LOT=1-0000007-26041702 | OK
2026-05-20T13:28:16.833517 | UPLOAD | Qbi?????.xlsm | WO=UMRZ26D037 | LOT=1-0000007-26041702 | OK
2026-05-20T13:33:48.686111 | UPLOAD | Qbi製程記錄表_(RL) 腎功能檢查 Renal  15_UMRZ26D036(退).xlsm | WO=UMRZ26D037 | LOT=1-0000007-26041702 | SKIPPED (already exists)
2026-05-20T15:25:42.342083 | UPLOAD | Qbi製程記錄表_(RL) 腎功能檢查 Renal  15_UMRZ26D036(退).xlsm | WO=UMRZ26D037 | LOT=1-0000007-26041702 | SKIPPED (no change)
2026-05-20T15:38:15.167342 | UPLOAD | Qbi?????.xlsm | WO=UMRZ26D038 | LOT=1-0000007-26041703 | OK
2026-05-22T11:38:01.228874 | UPLOAD | Qbi?????.xlsm | WO=UMRZ26D038 | LOT=1-0000007-26041703 | SKIPPED (no change)
2026-05-26T10:17:43.075991 | UPLOAD | Qbi?????_(AR) ???? Avian & Reptile  26.xlsm | ERROR: Excel 中 LOT NO 為空
2026-05-26T10:19:24.535969 | UPLOAD | ???LOT   20260525 ?? & 0602 ??_Qbi?????_(GC) ???? General Chem  26_UMRZ26E050.xlsm | WO=UMRZ26E050 | LOT=1-053054-26060201 | OK
2026-05-26T10:27:23.238822 | UPLOAD | ???LOT   20260525 ?? & 0602 ??_Qbi?????_(GC) ???? General Chem  26_UMRZ26E050.xlsm | WO=UMRZ26E050 | LOT=1-053054-26060201 | SKIPPED (no change)
2026-05-26T10:32:28.752522 | UPLOAD | ???LOT   20260525 ?? & 0602 ??_Qbi?????_(GC) ???? General Chem  26_UMRZ26E050.xlsm | WO=UMRZ26E050 | LOT=1-053054-26060201 | SKIPPED (no change)
2026-05-26T10:34:25.369370 | UPLOAD | ???LOT   20260525 ?? & 0602 ??_Qbi?????_(GC) ???? General Chem  26_UMRZ26E050.xlsm | WO=UMRZ26E050 | LOT=1-053054-26060201 | SKIPPED (no change)
2026-05-26T10:44:36.041962 | UPLOAD | ???LOT   20260525 ?? & 0602 ??_Qbi?????_(GC) ???? General Chem  26_UMRZ26E050.xlsm | WO=UMRZ26E050 | LOT=1-053054-26060201 | SKIPPED (no change)
2026-05-26T10:45:24.620151 | UPLOAD | ???LOT   20260525 ?? & 0602 ??_Qbi?????_(GC) ???? General Chem  26_UMRZ26E050.xlsm | WO=UMRZ26E050 | LOT=1-053054-26060201 | SKIPPED (no change)
2026-05-26T11:31:18.655965 | UPLOAD | 20260305_Qbi?????_Optimum Wellness  37_UMRZ26B042(?).xlsx | WO=UMRZ26B042 | LOT= | OK
2026-05-26T11:45:23.924000 | UPLOAD | 20260305_Qbi?????_Optimum Wellness  37_UMRZ26B042(?).xlsx | SHEET=ow | WO=UMRZ26B042 | LOT= | OK
2026-05-26T13:31:44.275049 | UPLOAD | 20260511建線 & 0513生產 _Qbi製程記錄表_cPL 犬胰腺特异性脂肪酶_UMRZ26E028.xlsx | SHEET=ow | TYPE=water | WO=UMRZ26E028 | LOT= | OK
2026-05-26T13:31:44.288131 | UPLOAD | 20260511建線 & 0513生產 _Qbi製程記錄表_cPL 犬胰腺特异性脂肪酶_UMRZ26E028.xlsx | SHEET=ow (2) | TYPE=water | WO=UMRZ26E028 | LOT= | OK
2026-05-26T13:34:09.945867 | UPLOAD | 20260511建線 & 0513生產 _Qbi製程記錄表_cPL 犬胰腺特异性脂肪酶_UMRZ26E028.xlsx | SHEET=ow | TYPE=water | WO=UMRZ26E028 | LOT= | OK
2026-05-26T13:34:09.958677 | UPLOAD | 20260511建線 & 0513生產 _Qbi製程記錄表_cPL 犬胰腺特异性脂肪酶_UMRZ26E028.xlsx | SHEET=ow (2) | TYPE=water | WO=UMRZ26E028 | LOT= | OK
2026-05-26T13:34:21.333274 | UPLOAD | 20260305_Qbi製程記錄表_Optimum Wellness  37_UMRZ26B042(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26B042 | LOT= | OK
2026-05-26T13:44:24.247285 | UPLOAD | 20260518 ?? & 0521 ??_Qbi?????_COAG ??_UMRZ26E047.xlsx | SHEET=ow | TYPE=water | WO=UMRZ26E047 | LOT= | OK
2026-05-26T13:44:24.259811 | UPLOAD | 20260518 ?? & 0521 ??_Qbi?????_COAG ??_UMRZ26E047.xlsx | SHEET=ow (2) | TYPE=water | WO=UMRZ26E047 | LOT= | OK
2026-05-26T13:52:47.703790 | UPLOAD | 20260518 ?? & 0521 ??_Qbi?????_COAG ??_UMRZ26E047.xlsx | SHEET=ow | TYPE=water | WO=UMRZ26E047 | LOT= | OK
2026-05-26T13:52:47.718398 | UPLOAD | 20260518 ?? & 0521 ??_Qbi?????_COAG ??_UMRZ26E047.xlsx | SHEET=ow (2) | TYPE=water | WO=UMRZ26E047 | LOT= | OK
2026-05-26T14:00:03.037476 | UPLOAD | ?QR    20260526 ?? & 0608 ??_Qbi?????_(CO) ???? Core Chem 13_UMRZ26E039 (2).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26E040 | LOT= | OK
2026-05-26T14:11:58.590663 | UPLOAD | 20260514?? & 0528??_Qbi?????_cCORT????_UMRZ26E036.xlsm | SHEET=ow | TYPE=water | WO=UMRZ26E037 | LOT= | OK
2026-05-26T14:27:52.728198 | UPLOAD | !!!   20260430建線 & 0504生產_Qbi製程記錄表_(DB) 糖尿病 Diabetes  10_UMRZ26D021(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26D021 | LOT= | OK
2026-05-26T14:27:54.525606 | UPLOAD | 20260408建線 & 0413生產_Qbi製程記錄表_(ST1) Specific Test 1_UMRZ26D018(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26D018 | LOT= | OK
